WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.834091 -6.186486)",POINT (106.834091 -6.186486),10.0,0.0,Jakarta Pusat,10.0,Kota,-6.186486,106.834091,active
"POINT (106.774124 -6.121435)",POINT (106.774124 -6.121435),20.0,0.0,Jakarta Utara,20.0,Kota,-6.121435,106.774124,active
"POINT (106.758423 -6.168329)",POINT (106.758423 -6.168329),30.0,0.0,Jakarta Barat,30.0,Kota,-6.168329,106.758423,active
"POINT (106.81323 -6.266622)",POINT (106.81323 -6.266622),40.0,0.0,Jakarta Selatan,40.0,Kota,-6.266622,106.813230,active
"POINT (106.900447 -6.225014)",POINT (106.900447 -6.225014),50.0,0.0,Jakarta Timur,50.0,Kota,-6.225014,106.900447,active
"POINT (106.542262 -5.729016)",POINT (106.542262 -5.729016),60.0,0.0,Kabupaten Kepulauan Seribu,60.0,Kabupaten,-5.729016,106.542262,active
