WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.36949 -7.79558)",POINT (110.36949 -7.79558),10.0,0.0,Kota Yogyakarta,10.0,Kota,-7.795580,110.369490,active
"POINT (110.355377 -7.715299)",POINT (110.355377 -7.715299),20.0,0.0,Kabupaten Sleman,20.0,Kabupaten,-7.715299,110.355377,active
"POINT (110.32816 -7.888902)",POINT (110.32816 -7.888902),30.0,0.0,Kabupaten Bantul,30.0,Kabupaten,-7.888902,110.328160,active
"POINT (110.164048 -7.826674)",POINT (110.164048 -7.826674),40.0,0.0,Kabupaten Kulon Progo,40.0,Kabupaten,-7.826674,110.164048,active
"POINT (110.618446 -7.9635)",POINT (110.618446 -7.9635),50.0,0.0,Kabupaten Gunungkidul,50.0,Kabupaten,-7.963500,110.618446,active
